Name,Stars,Short Comments,DatedText,Reviews,Helpfull
Gunjan Kumar,5.0 out of 5 stars,Good Facewash,15 August 2017,One of the best facewash for oily screen and pimpuls issue.I am regulary using from last 5 year and i 100% recommand you to bye this product. Bottle is huge on size and it runing day on day.Again good expirance with amzon. Got product before delivery date.,23 people found this helpful
Bhaumik Shah,4.0 out of 5 stars,Beautiful packaging same material,7 May 2018,Hi! I have been using this product since really long time. I had a very bad oily skin and I tried most of the good face washes available in the market but from the day i started using this product my pimples are just vanished.Now about the new packaging in bottle then let me tell you you need to be really careful about using this bottle. This bottle dispense more than the desired quantity. So if you are using it for the first time you may end up wasting a lot of quantity.,11 people found this helpful
Dhaval Patel,2.0 out of 5 stars,Not recommended,19 May 2018,I would rather use soap than wasting money on this facewash. Simply did not find any difference/improvement compared to soaps. Better go for a little costlier facewashes for good result.,8 people found this helpful
SajeevTOP 100 REVIEWER,5.0 out of 5 stars,Removes dirt and is gentle on skin,21 September 2018,Himalaya Neem Facewash leads to a feeling of freshness - you can literally feel your skin pores unclogged. However it does not lead to dryness. Feels great to be able to come home and splash it on and feel fresh. The price for the 300 ml makes it much more inexpensive than going for the smaller size packs. Highly recommend!If you find this review useful then please press the 'Helpful' button. Thanks!,5 people found this helpful
Adarsh Sachan,5.0 out of 5 stars,Effective in reducing and preventing pimples,2 August 2018,I've been using this facewash since a year and it is very effecting in my skin problems... Everytime I purchase it from market but this time from amazon and that is just a treat to my pocket.... Thanks amazon...But got it a little late due to rain and transporter's strike....,One person found this helpful
Yuvarajadimoolam,4.0 out of 5 stars,Reliable product. Received with seal and cap/nozzle lock. Intact comdition.,4 October 2017,Received the product with intact condition. With proper cover seal and nozzle/cap lock. Good one.,6 people found this helpful
Barun Ghosh,5.0 out of 5 stars,Oilfree Himalayan Face,13 July 2018,Have been using this product daily to control the extreme oil build up on my face especially during the monsoon season meant for people with extremely oily faces.,4 people found this helpful
MouleeTOP 1000 REVIEWER,5.0 out of 5 stars,Very happy with this product,21 June 2017,Huge bottle. Very happy with this product. I have a good trust for Himalaya.,6 people found this helpful
Sarbasish S.,3.0 out of 5 stars,not bad,8 February 2017,cleaning is good..but its very drying after using this facewash...,7 people found this helpful
Abhinav,5.0 out of 5 stars,awesom product in its price,5 November 2017,extremely good in that price,5 people found this helpful
